Indirizzo,Vendita(euro/m2),Affitto(euro/m2),geometry
Tunnel Via del Nord,11125,39.5,POINT (9.19191200969478 45.4834872511746)
Via Alessandro Paoli,11125,39.5,POINT (9.195365523061124 45.4853743678869)
Viale Luigi Sturzo,11125,39.5,POINT (8.815784632388972 45.47981211882136)
Passaggio Scuole Palatine,10367,33.84,POINT (9.187112253263242 45.46501203725374)
Galleria Vittorio Emanuele II,10367,33.84,POINT (9.189970000000073 45.46555000000006)
Via Armorari,10367,33.84,POINT (9.186250061798827 45.46416564734096)
Via San Dalmazio,10367,33.84,POINT (9.188289005909438 45.46661427606774)
Corso Vittorio Emanuele II,10367,33.84,POINT (9.194202151046012 45.46505783016687)
Galleria De' Cristoforis,10367,33.84,POINT (9.194897906273219 45.46585160103784)
Galleria del Corso,10367,33.84,POINT (9.1951803369695 45.46482909900475)
Galleria Santa Radegonda,10367,33.84,POINT (9.191938011888674 45.46533909045556)
Via Agnello,10367,33.84,POINT (9.193018454163992 45.46526991476048)
Via Gabrio Casati,10367,33.84,POINT (9.185442302142251 45.46546877698542)
Via Carlo Cattaneo,10367,33.84,POINT (9.188905059913594 45.46514504145139)
Piazzetta Reale,10367,33.84,POINT (9.154308634595209 45.50941176490475)
Piazza San Fedele,10367,33.84,POINT (9.190892065337605 45.46637458178308)
Passaggio degli Osii,10367,33.84,POINT (9.187832492528122 45.46431558639271)
Piazza Paolo Ferrari,10367,33.84,POINT (9.188768635356311 45.46696032838774)
Piazza del Duomo,10367,33.84,POINT (9.191360096784734 45.46468003441797)
Piazza dei Mercanti,10367,33.84,POINT (9.187750000000051 45.46458000000007)
Piazza Cordusio,10367,33.84,POINT (9.186808738262686 45.4656208957139)
Passaggio Duomo,10367,33.84,POINT (9.188161213639077 45.46419133076973)
Piazza Cesare Beccaria,10367,33.84,POINT (9.195240204756736 45.46436934635407)
Passaggio Giovanni Malagodi,10367,33.84,POINT (9.188763138211163 45.46664055694296)
Passaggio Santa Margherita,10367,33.84,POINT (9.187696781224906 45.46517188608134)
Via San Paolo,10367,33.84,POINT (9.193459506904773 45.46585272900646)
Via Bassano Porrone,10367,33.84,POINT (9.18699419570958 45.46614523867802)
Via San Prospero,10367,33.84,POINT (9.18573427561401 45.4660445600428)
Via San Protaso,10367,33.84,POINT (9.18800509496964 45.46601504109148)
Via Santa Radegonda,10367,33.84,POINT (9.191938011888674 45.46533909045556)
Via Cordusio,10367,33.84,POINT (9.185473885334909 45.46472993885562)
Via Cesare Cantù,10367,33.84,POINT (9.186658917169229 45.46410375330759)
Via Santa Maria Segreta,10367,33.84,POINT (9.185180100232913 45.46532003463494)
