Municipio,Classe_eta_capofamiglia,Genere_capofamiglia,Numero_componenti,Tipologia_familiare,Cittadinanza,Frq
1,Da 18 a 34 anni,Maschi,1,Single,Italia,1384
1,Da 18 a 34 anni,Maschi,1,Single,Sri Lanka,12
1,Da 18 a 34 anni,Maschi,1,Single,Cina,42
1,Da 18 a 34 anni,Maschi,1,Single,Filippine,8
1,Da 18 a 34 anni,Maschi,1,Single,Egitto,12
1,Da 18 a 34 anni,Maschi,1,Single,Ecuador,1
1,Da 18 a 34 anni,Maschi,1,Single,Perù,3
1,Da 18 a 34 anni,Maschi,1,Single,Altri paesi,216
1,Da 18 a 34 anni,Maschi,2,Coppia sposata senza figli,Italia,112
1,Da 18 a 34 anni,Maschi,2,Coppia sposata senza figli,Sri Lanka,3
1,Da 18 a 34 anni,Maschi,2,Coppia sposata senza figli,Altri paesi,11
1,Da 18 a 34 anni,Maschi,2,Coppia convivente senza figli,Italia,111
1,Da 18 a 34 anni,Maschi,3,Coppia convivente senza figli,Italia,3
1,Da 18 a 34 anni,Maschi,4 e più,Coppia convivente senza figli,Italia,2
1,Da 18 a 34 anni,Maschi,2,Coppia convivente senza figli,Sri Lanka,3
1,Da 18 a 34 anni,Maschi,2,Coppia convivente senza figli,Cina,3
1,Da 18 a 34 anni,Maschi,3,Coppia convivente senza figli,Filippine,2
1,Da 18 a 34 anni,Maschi,2,Coppia convivente senza figli,Altri paesi,16
1,Da 18 a 34 anni,Maschi,3,Coppia convivente senza figli,Altri paesi,3
1,Da 18 a 34 anni,Maschi,3,Coppia sposata con almeno un figlio minorenne,Italia,70
1,Da 18 a 34 anni,Maschi,4 e più,Coppia sposata con almeno un figlio minorenne,Italia,69
1,Da 18 a 34 anni,Maschi,3,Coppia sposata con almeno un figlio minorenne,Sri Lanka,2
1,Da 18 a 34 anni,Maschi,4 e più,Coppia sposata con almeno un figlio minorenne,Sri Lanka,2
1,Da 18 a 34 anni,Maschi,3,Coppia sposata con almeno un figlio minorenne,Cina,6
1,Da 18 a 34 anni,Maschi,3,Coppia sposata con almeno un figlio minorenne,Filippine,2
1,Da 18 a 34 anni,Maschi,4 e più,Coppia sposata con almeno un figlio minorenne,Filippine,2
1,Da 18 a 34 anni,Maschi,4 e più,Coppia sposata con almeno un figlio minorenne,Egitto,2
1,Da 18 a 34 anni,Maschi,4 e più,Coppia sposata con almeno un figlio minorenne,Perù,2
1,Da 18 a 34 anni,Maschi,3,Coppia sposata con almeno un figlio minorenne,Altri paesi,5
1,Da 18 a 34 anni,Maschi,4 e più,Coppia sposata con almeno un figlio minorenne,Altri paesi,11
1,Da 18 a 34 anni,Maschi,3,Coppia convivente con almeno un figlio minorenne,Italia,49
1,Da 18 a 34 anni,Maschi,4 e più,Coppia convivente con almeno un figlio minorenne,Italia,15
1,Da 18 a 34 anni,Maschi,3,Coppia convivente con almeno un figlio minorenne,Sri Lanka,6
1,Da 18 a 34 anni,Maschi,3,Coppia convivente con almeno un figlio minorenne,Cina,8
1,Da 18 a 34 anni,Maschi,4 e più,Coppia convivente con almeno un figlio minorenne,Cina,8
